initial_temp,cooling_multiple,temp_length,num_non_improve,time_taken,kemeny_score
100,0.993,100000,2000,2.713762044906616,74.0
100,0.993,100000,3000,4.016411066055298,70.0
100,0.994,100,1000,0.10258102416992188,129.0
100,0.994,100,2000,0.09973788261413574,116.0
100,0.994,100,3000,0.10193204879760742,103.0
100,0.994,1000,1000,1.0329720973968506,64.0
100,0.994,1000,2000,1.0889699459075928,66.0
100,0.994,1000,3000,1.1435298919677734,67.0
100,0.994,10000,1000,1.823314905166626,71.0
100,0.994,10000,2000,2.7970621585845947,68.0
100,0.994,10000,3000,3.9816088676452637,69.0
100,0.994,100000,1000,1.9318101406097412,64.0
100,0.994,100000,2000,2.7705438137054443,65.0
100,0.994,100000,3000,3.2997748851776123,64.0
100,0.995,100,1000,0.1132040023803711,145.0
100,0.995,100,2000,0.10566091537475586,145.0
100,0.995,100,3000,0.1107790470123291,126.0
100,0.995,1000,1000,1.0899229049682617,67.0
100,0.995,1000,2000,1.0129461288452148,63.0
100,0.995,1000,3000,1.0504062175750732,73.0
100,0.995,10000,1000,2.1010749340057373,67.0
100,0.995,10000,2000,2.395988941192627,65.0
100,0.995,10000,3000,3.9430251121520996,63.0
100,0.995,100000,1000,2.156341791152954,66.0
100,0.995,100000,2000,2.3672759532928467,69.0
100,0.995,100000,3000,4.190464019775391,68.0
100,0.996,100,1000,0.10307097434997559,147.0
100,0.996,100,2000,0.10137391090393066,135.0
100,0.996,100,3000,0.10159897804260254,141.0
100,0.996,1000,1000,1.0603830814361572,71.0
100,0.996,1000,2000,1.009617805480957,71.0
100,0.996,1000,3000,1.0556271076202393,69.0
100,0.996,10000,1000,1.4494209289550781,76.0
100,0.996,10000,2000,2.5123209953308105,64.0
100,0.996,10000,3000,3.5501620769500732,64.0
100,0.996,100000,1000,2.334696054458618,64.0
100,0.996,100000,2000,3.5484108924865723,68.0
100,0.996,100000,3000,3.5137979984283447,68.0
100,0.997,100,1000,0.10188007354736328,134.0
100,0.997,100,2000,0.10149383544921875,127.0
100,0.997,100,3000,0.10544204711914062,128.0
100,0.997,1000,1000,1.0200188159942627,90.0
100,0.997,1000,2000,1.0160651206970215,87.0
100,0.997,1000,3000,1.0112619400024414,89.0
100,0.997,10000,1000,1.5291600227355957,64.0
100,0.997,10000,2000,3.471909999847412,66.0
100,0.997,10000,3000,3.5051350593566895,64.0
100,0.997,100000,1000,2.488642692565918,67.0
100,0.997,100000,2000,2.5675718784332275,64.0
100,0.997,100000,3000,3.5691308975219727,66.0
100,0.998,100,1000,0.10309672355651855,143.0
100,0.998,100,2000,0.10349011421203613,152.0
100,0.998,100,3000,0.10617232322692871,182.0
100,0.998,1000,1000,1.0187938213348389,96.0
100,0.998,1000,2000,1.0293099880218506,116.0
100,0.998,1000,3000,1.018367052078247,106.0
100,0.998,10000,1000,3.78560209274292,74.0
100,0.998,10000,2000,4.035415172576904,64.0
100,0.998,10000,3000,3.7588658332824707,65.0
100,0.998,100000,1000,3.4649980068206787,65.0
100,0.998,100000,2000,2.8426401615142822,65.0
100,0.998,100000,3000,5.358482122421265,64.0
1000,0.99,100,1000,0.10951399803161621,155.0
1000,0.99,100,2000,0.1032111644744873,146.0
1000,0.99,100,3000,0.10197687149047852,154.0
1000,0.99,1000,1000,1.0116779804229736,70.0
1000,0.99,1000,2000,1.047766923904419,73.0
1000,0.99,1000,3000,1.0157341957092285,69.0
1000,0.99,10000,1000,1.7932381629943848,70.0
1000,0.99,10000,2000,2.7485928535461426,69.0
1000,0.99,10000,3000,3.9216251373291016,76.0
1000,0.99,100000,1000,1.298624038696289,64.0
1000,0.99,100000,2000,2.302928924560547,73.0
1000,0.99,100000,3000,3.89566969871521,74.0
1000,0.991,100,1000,0.10373497009277344,131.0
1000,0.991,100,2000,0.10172200202941895,133.0
1000,0.991,100,3000,0.10687804222106934,124.0
1000,0.991,1000,1000,1.0076463222503662,68.0
1000,0.991,1000,2000,0.9996192455291748,70.0
1000,0.991,1000,3000,0.9945878982543945,66.0
1000,0.991,10000,1000,1.3210291862487793,66.0
1000,0.991,10000,2000,2.344170093536377,63.0
1000,0.991,10000,3000,3.962462902069092,65.0
1000,0.991,100000,1000,1.8172001838684082,64.0
1000,0.991,100000,2000,2.9804441928863525,75.0
1000,0.991,100000,3000,4.919183015823364,70.0
1000,0.992,100,1000,0.12014102935791016,161.0
1000,0.992,100,2000,0.12084484100341797,149.0
1000,0.992,100,3000,0.10473322868347168,197.0
