initial_temp,cooling_multiple,temp_length,num_non_improve,time_taken,kemeny_score
100,0.995,100000,2000,2.3098227977752686,70
100,0.995,100000,3000,3.964763879776001,67
100,0.996,100,1000,0.10164308547973633,67
100,0.996,100,2000,0.10459399223327637,125
100,0.996,100,3000,0.10355615615844727,126
100,0.996,1000,1000,1.014535903930664,66
100,0.996,1000,2000,1.0252017974853516,66
100,0.996,1000,3000,1.0242788791656494,75
100,0.996,10000,1000,2.1500637531280518,78
100,0.996,10000,2000,3.248070001602173,67
100,0.996,10000,3000,3.3823721408843994,67
100,0.996,100000,1000,2.123708963394165,64
100,0.996,100000,2000,2.9894700050354004,63
100,0.996,100000,3000,3.4000630378723145,63
100,0.997,100,1000,0.10091114044189453,75
100,0.997,100,2000,0.10271573066711426,131
100,0.997,100,3000,0.10229682922363281,136
100,0.997,1000,1000,1.016969919204712,91
100,0.997,1000,2000,1.0211567878723145,95
100,0.997,1000,3000,1.0174551010131836,81
100,0.997,10000,1000,2.4679009914398193,63
100,0.997,10000,2000,2.5437538623809814,63
100,0.997,10000,3000,3.53882098197937,65
100,0.997,100000,1000,2.277348756790161,64
100,0.997,100000,2000,2.5215182304382324,64
100,0.997,100000,3000,4.328325033187866,65
100,0.998,100,1000,0.11004185676574707,70
100,0.998,100,2000,0.11053085327148438,145
100,0.998,100,3000,0.11100316047668457,141
100,0.998,1000,1000,1.0867748260498047,98
100,0.998,1000,2000,1.0799121856689453,100
100,0.998,1000,3000,1.2217540740966797,93
100,0.998,10000,1000,3.5269198417663574,71
100,0.998,10000,2000,4.202417850494385,69
100,0.998,10000,3000,5.936264991760254,68
100,0.998,100000,1000,1.6995668411254883,68
100,0.998,100000,2000,4.449726819992065,63
100,0.998,100000,3000,3.777912139892578,63
1000,0.99,100,1000,0.10017824172973633,67
1000,0.99,100,2000,0.10100626945495605,194
1000,0.99,100,3000,0.10194921493530273,159
1000,0.99,1000,1000,1.0142579078674316,73
1000,0.99,1000,2000,1.0121049880981445,72
1000,0.99,1000,3000,1.0163040161132812,67
1000,0.99,10000,1000,1.8681437969207764,65
1000,0.99,10000,2000,2.333091974258423,65
1000,0.99,10000,3000,3.307644844055176,68
1000,0.99,100000,1000,1.726093053817749,67
1000,0.99,100000,2000,2.3019750118255615,67
1000,0.99,100000,3000,3.797853946685791,72
1000,0.991,100,1000,0.10013508796691895,72
1000,0.991,100,2000,0.10078310966491699,119
1000,0.991,100,3000,0.10298275947570801,142
1000,0.991,1000,1000,1.0080101490020752,71
1000,0.991,1000,2000,1.0118610858917236,65
1000,0.991,1000,3000,1.0127580165863037,65
1000,0.991,10000,1000,1.865290880203247,73
1000,0.991,10000,2000,2.3316709995269775,73
1000,0.991,10000,3000,3.3582241535186768,73
1000,0.991,100000,1000,2.0459489822387695,70
1000,0.991,100000,2000,2.3183341026306152,70
